Schm Desc,Rate,Sanct Lim,Balance,Status
1,9,1500000,982892.11,1
2,9,11000000,10795157.66,1
2,9,2490000,2285793.8,1
2,9,2500000,1573117.89,1
2,9,2500000,2327153.93,1
2,9,2500000,1645400.44,1
2,9,5000000,4415732.17,1
2,9,4300000,3179313.45,1
3,9,3300000,2692638.39,1
3,9,2600000,1899973.89,1
3,9,2900000,2887160.6,1
3,9,4000000,3780577.87,1
4,0,300000,0,2
4,0,500000,0,2
4,0,175000,0,2
4,0,300000,0,2
4,9,300000,148532.07,1
4,0,400000,0,2
4,0,1000000,0,2
4,9,420000,23211.68,1
4,9,160000,114838.52,1
4,21,450000,72086.31,3
4,9,1000000,695459.55,1
4,9,2000000,1480211.28,1
4,9,700000,253866.83,1
4,9,240000,118886.91,1
4,9,400000,126956.36,1
4,9,400000,307183.83,1
4,9,185000,114000.38,1
4,9,225000,148262.45,1
4,9,1500000,536810.7,1
4,9,200000,184291.57,1
4,9,370000,144656.65,1
4,9,500000,423642.27,1
4,17,180000,38325.01,3
4,9,1200000,377942.67,1
4,9,120000,89762,1
4,9,500000,278787.36,1
4,9,200000,97212.39,1
4,9,180000,56190.56,1
4,9,2000000,1274871.03,1
4,9,500000,443354.7,1
4,9,1496000,1150481.85,1
4,9,1700000,1372003.33,1
4,9,180000,146956.95,1
4,9,400000,357746.65,1
4,9,400000,381984.27,1
4,9,200000,19317.31,1
4,9,380000,210051.5,1
4,9,1200000,1040135.63,1
4,9,400000,367558.13,1
4,9,1000000,404745.42,1
4,9,327000,220033.49,1
4,9,815000,167655.76,1
4,9,200000,0,1
4,9,1000000,320076.36,1
4,9,248000,18895.32,1
4,9,1000000,249260.91,1
4,9,300000,0,1
4,9,1700000,1647729.69,1
4,9,220000,23121.67,1
4,9,270000,85522,1
4,9,300000,189776.16,1
4,9,119000,12507.76,1
4,9,450000,184992.39,1
4,9,300000,74165.99,1
4,9,120000,87510.36,1
4,9,235000,192487.1,1
4,9,800000,677341.07,1
4,9,325000,207140.8,1
4,9,150000,5008.93,1
4,9,314000,253009.46,1
4,9,1000000,769101.21,1
4,9,400000,63074.5,1
4,9,400000,227601.53,1
4,9,690000,379324.86,1
4,9,200000,155340.79,1
4,9,2000000,1597115.91,1
4,9,700000,539652.31,1
4,9,150000,78507.64,1
4,9,200000,106971.11,1
4,9,500000,364554.34,1
4,9,400000,175438.85,1
4,9,800000,554580.72,1
4,9,1000000,798520.66,1
4,9,1000000,593379.93,1
4,9,1000000,661691.32,1
4,9,1000000,771005.67,1
4,9,500000,270183.5,1
4,9,600000,318189.18,1
4,9,1000000,761437.61,1
4,9,2000000,1512370.45,1
4,9,2000000,1332899.82,1
4,9,430000,312637.21,1
4,9,800000,673918.9,1
4,9,200000,79532.93,1
4,9,200000,92661.3,1
4,9,200000,120996.54,1
4,9,200000,4345.23,1
4,9,500000,405098.58,1
4,9,100000,81955.76,1
4,9,150000,90583.93,1
4,9,200000,115005.6,1
4,9,300000,137477.14,1
4,9,400000,341616.89,1
4,9,240000,164846.72,1
4,9,200000,231916.55,1
4,9,200000,133231.56,1
4,9,290000,193185.84,1
4,9,200000,115708.54,1
4,9,310000,282810.5,1
4,9,384000,341648.51,1
4,9,290000,200023.33,1
4,9,750000,552451.06,1
4,9,313000,268413.49,1
4,9,130000,66166.7,1
4,9,270000,185147.83,1
4,9,185000,138550.69,1
4,9,240000,178907.44,1
4,9,230000,188732.88,1
4,9,200000,113870.27,1
4,9,140000,141393.4,1
4,9,320000,244314.59,1
4,9,1196000,711073.59,1
4,9,350000,269175.93,1
4,9,200000,139926.02,1
4,9,330000,278054.63,1
4,9,200000,138773.5,1
4,9,290000,231433.81,1
4,9,200000,134903.18,1
4,9,200000,163226.42,1
4,9,490000,466860.33,1
4,9,1000000,852594.81,1
4,9,300000,193197.09,1
4,9,260000,182044.23,1
4,9,250000,218880.52,1
4,9,190000,166356.06,1
4,9,250000,204132.28,1
4,9,195000,190705.25,1
4,9,160000,127124.28,1
4,9,1000000,946893.01,1
4,9,320000,233013.89,1
4,9,150000,104867.09,1
4,9,600000,542306.15,1
4,9,200000,123804.03,1
4,9,350000,276802.84,1
4,9,290000,230775.65,1
4,9,300000,185409.44,1
4,9,180000,112091.3,1
4,9,150000,88969.68,1
4,9,310000,245802.72,1
4,9,380000,322314.69,1
4,9,275000,226912.01,1
4,9,190000,169620.76,1
4,9,360000,350501.23,1
4,9,300000,277043.25,1
4,9,280000,202506.62,1
4,9,130000,116411.11,1
4,9,300000,269211.57,1
4,9,230000,213462.12,1
4,9,500000,410873.98,1
4,9,400000,333214.45,1
4,9,200000,139226.96,1
4,9,340000,296129.21,1
4,9,320000,294219.01,1
4,9,120000,102288.7,1
4,9,1000000,484355.09,1
4,9,625000,201567.65,1
4,12.5,325000,177.25,3
4,9,1000000,461370.2,1
4,9,1000000,407689.78,1
4,9,500000,318050.45,1
4,9,2000000,1433266.51,1
4,9,545000,280437.63,1
4,9,200000,41186.93,1
4,9,495000,270860.4,1
4,9,950000,546413.54,1
4,9,1330000,1092316.95,1
4,9,190000,43457.11,1
4,9,1500000,730196.99,1
4,9,250000,119185.06,1
4,9,2000000,621639.56,1
4,9,2000000,1350681.4,1
4,9,900000,634506.55,1
4,9,400000,219670.3,1
4,9,379000,269741.18,1
4,9,500000,463727.91,1
4,9,700000,538225.77,1
4,9,1050000,759019.44,1
4,9,300000,173583.36,1
4,9,1165000,712676.56,1
4,9,310000,229466.96,1
4,9,800000,629973.52,1
4,9,1000000,653169.06,1
4,9,800000,503689.69,1
4,9,475000,306866.92,1
4,9,140000,119191.4,1
